STORE_NO,ZIP,SQUARE_FEET,U_CITY,U_STATE,CENSUS_REGION,CENSUS_DIVISION,TOT_ATTRITION_2012,TOT_ATTRITION_2013,NUM_ASSISTANT_MANAGERS,NUM_CUST_ACC_REPS,NUM_STORE_MANAGERS,NUM_EMP_PAY_TYPE_H,AVG_PAY_RATE_PAY_TYPE_S,AVG_PAY_RATE_PAY_TYPE_H,NAT_CURR_ROBBERY,NAT_CURR_BURGLARY,NAT_CURR_MOT_VEH_THEFT,NAT_PAST_ROBBERY,NAT_PAST_BURGLARY,NAT_PAST_MOT_VEH_THEFT,FRONTAGE_ROAD,NUM_PARKING_SPACES,SIGNAGE_VISIBILITY_IND,AUTOZONE_IND,TARGET_IND,WALMART_IND,PAYLESS_IND,COMP_PRESENCE_IND,STRIP_SHOP_CENTER_IND,SINGLE_TENANT_IND,PAD_IN_SHOP_CENTER_IND,MARKETING_EXP_2013,MARKETING_EXP_2012,TOT_NUM_LEADS,NUM_CONVERTED_TO_AGREEMENT,PERC_CONVERTED_TO_AGREEMENT,URBANICITY,CYA01V001,CYB02V001,CYA12V001,CYA12V002,CYA12V003,CYA12V007,CYA12V008,CYA21V001,CYB07VBASE,XCX03V069,PERC_CYEA07V001,PERC_CYEA07V004,PERC_CYEA07V007,PERC_CYEA07V010,PERC_CYB11V006,PERC_CYB11V007,PERC_CYC13VV01
889,70605,4800,LAKE CHARLES,LA,South,West South Central,1,6,3,6,3,3,43000,11.23666667,284,562,218,258,535,190,No,Greater than 10,Yes,0,0,0,0,0,0,1,0,644.96,562.93,8818,322,0.051363854,Emerging suburban,83876,34532,23107,30328,27211,4799,9014,80.06,34532,54.79,0.532881873,0.41129763,0.004423196,0.017490104,0.021429399,0.011004286,0.302601459
891,71301,4800,ALEXANDRIA,LA,South,West South Central,4,5,6,10,4,3,41000,11.75666667,178,336,132,206,365,136,No,Greater than 10,Yes,1,0,0,0,0,0,0,0,1325.46,696.26,10591,274,0.072505954,Emerging suburban,64934,25449,18776,20243,16366,4632,7344,105.26,25449,57.86,0.433871316,0.520035729,0.004650876,0.017540888,0.023576565,0.015835593,0.336988327
895,57701,5166,RAPID CITY,SD,Midwest,West North Central,10,8,9,23,4,5,51000,10.5,193,233,273,314,277,476,Yes,Greater than 10,Yes,0,0,0,0,0,1,0,0,2611.59,1559.04,18171,554,0.071474648,Emerging suburban,74494,30809,19017,27819,25915,3024,8742,114.42,30809,45.09,0.801890085,0.011571402,0.122842108,0.011155261,0.019052874,0.009932163,0.324334846
896,57104,5000,SIOUX FALLS,SD,Midwest,West North Central,5,4,7,13,5,4,42000,10.975,253,230,233,244,207,206,Yes,Greater than 10,Yes,0,0,0,0,0,0,0,1,742.73,1482.11,11319,279,0.037185126,Suburban,139372,57019,37636,55263,51735,5513,11865,107.33,57019,47.07,0.856700055,0.046580375,0.029503774,0.018145682,0.017730932,0.0102422,0.189076716
897,68516,4700,LINCOLN,NE,Midwest,West North Central,5,4,3,14,1,4,44000,11.1,29,55,27,33,49,25,Yes,Between 1 and 10,Yes,0,0,0,0,0,0,0,0,1167.22,659.4,13117,439,0.045412227,Suburban,180597,73196,58125,66002,61813,5709,16394,75.59,73196,49.49,0.830124531,0.048068351,0.010260414,0.04397083,0.019017433,0.01121646,0.127970011
900,89512,4500,RENO,NV,West,Mountain,4,7,6,8,3,6,50000,11.83333333,361,264,304,378,344,382,Yes,Greater than 10,No,0,0,0,0,0,0,0,0,1609.32,1042.32,22172,642,0.041867745,Suburban,174858,66180,49326,62160,51458,7530,22287,70.4,66180,76.81,0.705606835,0.032500658,0.017448444,0.054970319,0.031958296,0.028241161,0.11983438
901,37920,4500,KNOXVILLE,TN,South,East South Central,1,8,2,8,3,2,45000,11.315,341,506,287,391,476,248,No,Greater than 10,Yes,0,0,0,0,0,0,0,0,584.49,355.72,7634,333,0.058544304,Emerging suburban,77202,30824,33096,17203,13754,5332,9724,56.72,30824,39.69,0.744592109,0.197702132,0.00388591,0.010906453,0.015377628,0.010997924,0.233258206
903,37814,4800,MORRISTOWN,TN,South,East South Central,4,6,5,5,3,3,39000,10.43,114,505,127,122,559,163,Yes,Greater than 10,Yes,0,0,0,0,0,0,0,0,1138.5,1095.26,10778,376,0.05090023,Emerging suburban,39353,15470,7742,15330,13753,3338,4930,61.64,15470,34.66,0.815541382,0.05562473,0.004269052,0.006530633,0.024951519,0.016483517,0.499580718
906,75701,7243,TYLER,TX,South,West South Central,2,3,6,9,3,3,41000,10.30333333,177,288,93,169,231,100,No,Greater than 10,Yes,0,0,0,0,0,1,0,0,534.96,601.52,11352,355,0.036821906,Emerging suburban,109341,42031,26961,43249,37789,6323,10042,104.34,42031,51.83,0.64855818,0.201342589,0.005258778,0.017806678,0.0281221,0.021436559,0.24113553
912,88101,10000,CLOVIS,NM,West,Mountain,2,3,3,9,4,3,44000,12.79666667,152,498,198,176,515,217,Yes,Greater than 10,Yes,0,0,0,0,0,1,0,0,1250.96,781.46,10923,359,0.053911999,Emerging suburban,42408,15512,10011,16004,14406,2032,4061,374.09,15512,89.55,0.687959819,0.064822675,0.011507263,0.01344086,0.034747292,0.022434245,0.463733258
915,79007,4800,BORGER,TX,South,West South Central,2,3,2,10,4,3,41000,10.64,42,122,35,34,95,34,Yes,Greater than 10,Yes,0,0,0,0,0,1,0,0,737.27,1048.96,9099,355,0.056745524,Emerging suburban,14782,5876,2714,6430,5998,964,1347,117.06,5876,41.09,0.809295089,0.035380869,0.017724259,0.005547287,0.027569775,0.011061947,1.480313895
916,79065,5600,PAMPA,TX,South,West South Central,0,0,5,6,1,4,51000,11.44,34,133,31,38,139,34,No,Between 1 and 10,Yes,0,0,0,0,0,0,1,0,1181.09,2293.04,14733,614,0.096374196,Emerging suburban,18868,7523,2957,8610,8128,1209,1838,252.68,7523,40.16,0.805649777,0.035668857,0.009221963,0.004398982,0.025122956,0.012627941,1.180411278
920,38053,9288,MILLINGTON,TN,South,East South Central,6,5,8,10,5,3,39000,10.83,67,159,70,88,229,88,No,Between 1 and 10,Yes,0,0,0,0,0,0,1,0,486.73,393.19,8661,258,0.03677309,Emerging suburban,22680,8187,5003,9940,8967,916,2263,90.9,8187,45.42,0.684744268,0.239594356,0.006349206,0.015740741,0.028337608,0.018932454,0.981305115
922,52240,5500,IOWA CITY,IA,Midwest,West North Central,2,2,4,6,1,4,48000,12.0125,87,225,155,99,227,123,No,Between 1 and 10,No,0,0,0,0,0,0,1,0,275.7,540.76,10923,414,0.061827957,Emerging suburban,82688,34516,37931,25728,23796,1919,5712,69.27,34516,56.62,0.819744098,0.060286862,0.002309888,0.067651896,0.0128636,0.00657666,0.322755418
924,4468,4484,OLD TOWN,ME,Northeast,New England,1,0,6,3,1,4,44000,11.81,46,71,55,50,82,50,Yes,Between 1 and 10,Yes,0,0,0,0,0,0,0,0,255.68,584.46,9199,395,0.048288509,Emerging suburban,23249,8237,10410,7068,6389,834,2255,111.87,8237,59.22,0.916297475,0.009548798,0.035227322,0.016817928,0.010076484,0.004127716,0.884597187
930,4938,4908,FARMINGTON,ME,Northeast,New England,5,1,4,10,0,5,50000,11.998,29,41,24,27,46,25,Yes,Between 1 and 10,Yes,0,0,0,0,0,0,0,0,524.34,570.04,10811,472,0.06080907,Rural,20800,8553,5246,8511,7861,1123,2511,280.09,8553,50.7,0.969903846,0.002788462,0.004038462,0.004615385,0.016953116,0.00596282,1.076442308
931,4102,4044,PORTLAND,ME,Northeast,New England,4,0,3,11,2,4,43000,11.7625,367,66,202,329,73,177,Yes,Between 1 and 10,Yes,0,0,0,0,0,0,0,0,516.19,390.48,9103,410,0.052262588,Suburban,111356,50669,34577,41367,36704,6135,11690,65.7,50669,66.15,0.87411545,0.051294946,0.004085995,0.035346097,0.01077582,0.006868105,0.267834692
932,4005,6000,BIDDEFORD,ME,Northeast,New England,1,0,3,7,1,5,53000,12.498,141,196,125,210,248,203,Yes,Greater than 10,Yes,0,0,0,0,0,0,0,0,749.76,831.57,13453,526,0.071215814,Emerging suburban,44042,18879,12195,17761,16300,2549,4711,66.08,18879,56.96,0.951886835,0.008991417,0.004359475,0.015553336,0.012394724,0.005455797,0.589005949
933,4268,3500,NORWAY,ME,Northeast,New England,2,1,4,6,1,4,43000,11.985,28,34,31,27,31,26,Yes,Between 1 and 10,Yes,0,0,0,0,0,0,1,0,429.62,787.11,9569,487,0.109882672,Emerging suburban,12328,5230,2708,5101,4792,793,1588,105.26,5230,49.59,0.961875406,0.004055808,0.005029202,0.005191434,0.01414914,0.005927342,1.858939001
934,4073,4000,SANFORD,ME,Northeast,New England,2,0,3,3,1,4,56000,12.5,136,201,223,132,241,218,Yes,Greater than 10,Yes,0,0,0,0,0,1,0,0,580.88,530.8,9307,482,0.056652562,Emerging suburban,29198,11963,7248,12099,11236,1585,3103,115.92,11963,56.16,0.953798205,0.006404548,0.004041373,0.015823002,0.019727493,0.008609881,0.842283718
936,4062,4154,WINDHAM,ME,Northeast,New England,4,2,4,10,1,4,48000,10.88,19,29,12,17,28,13,Yes,Between 1 and 10,Yes,0,0,0,0,0,0,0,0,405.97,691.7,11581,429,0.086058175,Emerging suburban,17771,6754,4545,8213,7862,574,1441,55.21,6754,60.51,0.965505599,0.008778347,0.002982387,0.005627145,0.018655612,0.006662718,1.647121715
938,4240,4345,LEWISTON,ME,Northeast,New England,4,4,6,8,1,4,42000,10.8625,357,372,236,437,375,350,Yes,Greater than 10,Yes,0,0,0,0,0,0,0,0,670.11,606.57,9741,387,0.053364589,Emerging suburban,60802,25948,17045,21400,19593,3539,7322,84.98,25948,55.18,0.892273281,0.063336732,0.004325516,0.010016118,0.015800832,0.010328349,0.358886221
939,970054715,4610,BEAVERTON,OR,West,Pacific,1,0,4,4,1,4,65000,12.1425,169,243,313,136,192,235,Yes,Greater than 10,Yes,0,0,0,0,0,1,0,0,2122.58,805.44,16691,542,0.043943571,Urban,190920,76860,47378,78449,73037,6930,20855,41.4,76860,80.41,0.766514771,0.02319296,0.006929604,0.072108737,0.020895134,0.013192818,0.176712759
941,974022013,5560,EUGENE,OR,West,Pacific,3,3,7,8,2,4,50000,11.87,203,252,384,207,303,417,No,Greater than 10,Yes,0,0,0,0,0,1,0,0,948.51,1195.87,15757,535,0.044127351,Suburban,142427,60633,49446,47928,43101,7605,16913,69.86,60633,59.91,0.856677456,0.013550802,0.011535734,0.03754906,0.013853842,0.008097901,0.17154753
945,97086,3250,PORTLAND,OR,West,Pacific,1,3,6,7,1,4,52143.75,12.312075,133,177,249,143,181,267,Yes,Between 1 and 10,Yes,0,0,0,0,0,0,0,0,1241.01,1764.35,13737,374,0.043901866,Urban,237676,92390,57867,97548,91048,12036,25120,59.2,92390,71.67,0.791161076,0.026035443,0.010707854,0.082216968,0.025186709,0.018649205,0.114803346
946,97301,4227,SALEM,OR,West,Pacific,5,3,4,8,4,4,56375,11.95625,327,458,420,341,471,472,Yes,Between 1 and 10,Yes,0,0,0,0,0,0,1,0,937.45,921.15,13661,459,0.055301205,Suburban,152572,55252,37691,56919,49983,6846,17068,47.69,55252,71.96,0.738661091,0.014268673,0.017159112,0.023877251,0.035365236,0.029718381,0.134094067
948,985204320,6288,ABERDEEN,WA,West,Pacific,1,3,4,8,2,4,50000,11.81,168,227,186,160,255,176,Yes,Greater than 10,Yes,0,0,0,0,0,0,0,0,1788.06,1691.51,16753,635,0.062555413,Emerging suburban,26097,10188,6217,9910,8693,1389,3384,36.98,10188,54.95,0.821358777,0.008085221,0.037590528,0.016668583,0.030231645,0.020906949,0.727171706
954,30141,3600,HIRAM,GA,South,South Atlantic,0,2,5,8,3,4,50000,14.375,111,245,129,80,191,74,No,Greater than 10,Yes,0,0,0,0,0,0,0,0,410.45,637.39,14400,362,0.141185647,Emerging suburban,89124,30170,18256,37954,35067,3349,9004,92.97,30170,53.12,0.696636147,0.24408689,0.003051928,0.011949643,0.036857806,0.024063639,0.287307572
955,30102,3585,ACWORTH,GA,South,South Atlantic,4,4,9,5,4,4,50000,14.4375,103,239,105,113,274,107,No,Greater than 10,Yes,0,0,0,0,0,1,0,0,1869.81,802.82,11528,318,0.103146286,Suburban,114640,40282,27729,50293,46241,3334,9425,51.66,40282,52.57,0.74713887,0.140204117,0.0034194,0.037892533,0.028399782,0.018444963,0.255617586
959,99503,5250,ANCHORAGE,AK,West,Pacific,6,4,9,9,1,4,53000,12.41,232,320,457,314,264,688,Yes,Between 1 and 10,Yes,0,0,0,0,0,0,1,0,650.42,1656.75,12178,392,0.037903694,Suburban,144075,55545,40515,50596,44506,5002,18660,44.77,55545,90.22,0.580766962,0.061308346,0.101259761,0.105923998,0.026987128,0.025222792,0.222328648
962,92704,3412,SANTA ANA,CA,West,Pacific,2,1,6,7,1,5,0,13.93,354,410,865,146,177,673,Yes,Greater than 10,Yes,0,1,0,0,0,0,0,0,731.83,444.74,16745,467,0.088530806,Superurban,93474,25519,31015,34036,27866,2813,6010,11.33,25519,132.67,0.488210625,0.01903203,0.008237585,0.131983225,0.066342725,0.121556487,0.252070094
965,45036,4905,LEBANON,OH,Midwest,East North Central,1,1,5,9,2,3,39000,11.51666667,55,103,46,81,151,71,Yes,Greater than 10,Yes,0,0,0,0,0,0,0,0,1103.47,964.86,11050,363,0.043920145,Emerging suburban,36280,11567,9122,14867,13781,1245,3835,69.65,11567,46.7,0.884151047,0.081339581,0.002149945,0.007028666,0.027924267,0.012708568,0.798869901
966,38008,5250,BOLIVAR,TN,South,East South Central,2,0,4,8,3,4,39000,10.835,60,88,32,109,121,54,Yes,Between 1 and 10,Yes,0,0,0,0,0,0,1,0,1191.57,871.26,12529,359,0.041459753,Rural,13899,5501,3551,5098,4480,865,1619,288.24,5501,52.26,0.509101374,0.464925534,0.002877905,0.006259443,0.021632431,0.015088166,1.40182747
968,38635,4500,HOLLY SPRINGS,MS,South,East South Central,3,0,5,5,3,4,44000,10.4075,179,157,66,174,189,74,Yes,Greater than 10,Yes,1,0,0,0,0,1,0,0,768.16,1040.66,11399,398,0.052382206,Rural,18512,6511,6888,5402,4424,1136,1587,356.37,6511,60.1,0.391691876,0.583513397,0.002484875,0.00167459,0.030717248,0.018276762,0.912219101
969,38652,4200,NEW ALBANY,MS,South,East South Central,0,2,7,5,1,4,44000,10.2275,25,126,25,31,161,30,Yes,Greater than 10,Yes,0,0,1,0,0,0,0,0,472.33,784.99,10851,459,0.060362967,Emerging suburban,13956,5253,2452,5519,5263,1364,1566,114.36,5253,45.71,0.710232158,0.222126684,0.001719691,0.002579536,0.023224824,0.014087188,1.382774434
983,92404,4000,SAN BERNADINO,CA,West,Pacific,4,2,5,4,3,5,0,13.276,645,494,1245,629,553,1151,Yes,Between 1 and 10,Yes,0,0,0,0,0,0,0,0,1328.63,1835.96,12714,395,0.04550167,Suburban,180905,51958,52313,57812,46794,8394,15539,69.93,51958,113.89,0.480318399,0.137436776,0.013283215,0.042591415,0.068651603,0.075945956,0.091910119
984,2909,4500,PROVIDENCE,RI,Northeast,New England,7,3,8,14,2,5,60000,12.71,893,368,940,825,351,1189,No,Greater than 10,Yes,0,0,0,0,0,0,1,0,1426.43,407.29,18580,501,0.109844332,Urban,271577,100935,105691,78127,64466,14270,23444,47.83,100935,97.87,0.599984535,0.127341417,0.010479533,0.056035673,0.028384604,0.021181949,0.082484894
985,2861,4250,PAWTUCKET,RI,Northeast,New England,3,1,3,11,1,4,40000,11.4475,228,114,254,228,134,271,No,Greater than 10,Yes,0,0,0,0,0,0,0,0,417.1,812.98,8378,232,0.073956009,Urban,149634,61198,45410,53252,46309,8338,15498,39.76,61198,84.31,0.723037545,0.094951682,0.005740674,0.021599369,0.021013759,0.011699729,0.176016146
993,23185,4651,WILLIAMSBURG,VA,South,South Atlantic,0,4,5,8,0,3,46000,11.09333333,71,94,75,60,70,58,Yes,"0 (e.g., street parking, structure/lot more than 2 doors down, parking in back)",No,0,0,0,0,0,0,0,0,563.2,726.5,13936,476,0.094276094,Emerging suburban,43913,16320,12692,18830,16998,2244,3767,66.91,16320,51.62,0.728394781,0.174344727,0.003780202,0.03664063,0.01752451,0.008517157,0.836381026
994,92544,3600,HEMET,CA,West,Pacific,2,4,10,8,2,6,0,12.75333333,233,400,335,208,334,294,Yes,Greater than 10,Yes,0,0,0,0,0,0,0,1,1143.12,1373.98,12200,284,0.032897023,Suburban,159787,54161,33299,63044,57033,11249,16091,125,54161,79.38,0.662056363,0.057482774,0.018881386,0.026428934,0.049851369,0.046084821,0.116780464
995,81501,4000,GRAND JUNCTION,CO,West,Mountain,6,4,14,11,0,6,60000,12.21666667,71,207,95,87,316,139,Yes,Greater than 10,Yes,0,0,0,0,0,0,0,0,1427.53,1285.84,23502,880,0.121866778,Emerging suburban,93863,37809,21795,35729,32520,4334,13413,384.73,37809,62.15,0.874956053,0.007926446,0.011847054,0.009013136,0.02163506,0.012060621,0.275188306
1006,35215,5160,BIRMINGHAM,AL,South,East South Central,4,3,6,9,3,4,47000,10.425,173,521,173,195,592,195,Yes,Greater than 10,Yes,1,0,0,0,0,1,0,0,625.29,265.27,11689,340,0.122522523,Suburban,98419,38165,27261,32510,27792,4901,12200,64.65,38165,67.68,0.31004176,0.647090501,0.002336947,0.005801725,0.02649024,0.017162322,0.207012874
1008,35601,6500,DECATUR,AL,South,East South Central,0,0,3,4,1,4,43000,11.725,152,371,131,123,294,130,Yes,Greater than 10,No,0,0,0,0,1,0,0,0,751.77,609.76,10682,425,0.098175098,Emerging suburban,62508,24852,14156,25277,21308,3702,6943,85.06,24852,47.59,0.666842644,0.208741281,0.007854995,0.008286939,0.019636247,0.013117657,0.348291419
1012,35901,5800,GADSDEN,AL,South,East South Central,2,2,4,7,1,4,50000,11.815,183,366,117,191,284,95,Yes,Greater than 10,Yes,0,0,0,0,0,0,1,0,1361.78,460.36,11591,338,0.043562315,Emerging suburban,49886,20889,12213,18332,15699,4557,5548,80.17,20889,43.01,0.648859399,0.29020166,0.004069278,0.008479333,0.019388195,0.011920149,0.418514212
1017,36108,6600,MONTGOMERY,AL,South,East South Central,3,1,6,11,0,5,47000,10.82,421,575,342,450,789,406,Yes,Greater than 10,Yes,0,0,0,0,0,1,0,0,1611.42,1032.75,12493,475,0.277129522,Emerging suburban,88269,34097,29541,26817,21394,4442,9411,82.74,34097,65.68,0.304308421,0.653728942,0.00216384,0.005324633,0.024166349,0.018887292,0.223815836
1018,36107,8310,MONTGOMERY,AL,South,East South Central,6,0,7,11,3,4,41000,12.13,400,616,396,377,688,356,Yes,Greater than 10,Yes,0,0,0,0,0,0,0,0,1034.5,296.06,10186,322,0.100750939,Suburban,112846,45135,35023,37262,31584,5795,12481,55.67,45135,63.2,0.402672669,0.550918952,0.002587597,0.010004785,0.021180902,0.015996455,0.202833951
1023,72301,4200,WEST MEMPHIS,AR,South,West South Central,2,4,6,8,2,4,43000,11.29,220,871,281,197,546,150,Yes,Greater than 10,Yes,0,0,0,0,0,1,0,0,326.25,615.37,12715,436,0.058063657,Emerging suburban,40669,15105,11266,13306,11426,1999,4353,111.34,15105,55.9,0.455457474,0.515060611,0.002606408,0.007081561,0.029129427,0.019198941,0.473825272
1024,86442,4200,BULLHEAD CITY,AZ,West,Mountain,2,0,3,5,2,4,46000,11.27,163,610,158,138,391,120,Yes,Greater than 10,Yes,0,0,0,0,0,0,0,0,372.2,595.57,18086,812,0.071178121,Emerging suburban,50329,20853,9382,22758,20384,3823,6282,90.34,20853,57.04,0.831151026,0.011881818,0.011643387,0.013868744,0.023545773,0.015681197,0.468298595
1028,85051,4052,PHOENIX,AZ,West,Mountain,5,5,14,12,2,5,43000,10.77,397,568,407,374,469,401,Yes,Greater than 10,No,0,0,0,0,0,0,0,0,2151.39,2303.37,14035,467,0.065571469,Urban,211633,73213,64454,65093,53398,8817,21027,33.37,73213,96,0.598181758,0.073192744,0.035764744,0.041567241,0.04945843,0.046480816,0.08978751
1031,85202,4680,MESA,AZ,West,Mountain,2,4,13,5,2,4,40000,11.56,460,407,324,469,345,374,Yes,Greater than 10,Yes,0,0,0,0,0,0,0,0,1986.93,1189.3,17655,343,0.040357689,Urban,195674,76099,68979,59718,51983,7944,19159,40.42,76099,88.21,0.671008923,0.052055971,0.040373274,0.029549148,0.030250069,0.027569351,0.11534491
1032,85040,2700,PHOENIX,AZ,West,Mountain,5,8,8,8,4,3,39000,11.46666667,359,531,621,345,508,577,Yes,Between 1 and 10,Yes,0,0,0,0,0,0,0,0,1140.76,1229.37,10078,339,0.096033994,Suburban,108851,30856,35707,32792,28328,3310,7439,35.02,30856,120.82,0.429780158,0.166346657,0.024731054,0.020698018,0.070974851,0.081896552,0.141955517
1033,85303,4576,GLENDALE,AZ,West,Mountain,1,2,4,11,1,4,46000,11.375,440,330,437,307,282,504,Yes,Greater than 10,No,0,0,0,0,0,1,0,0,1149.32,2466.98,17803,538,0.080119136,Urban,179841,47982,50833,57170,47454,4599,13255,29.08,47982,121.13,0.509511179,0.065379975,0.020557048,0.017926947,0.087949648,0.098578634,0.077357221
1039,85031,3700,PHOENIX,AZ,West,Mountain,2,6,9,6,2,4,43000,11.2775,490,456,620,514,413,839,Yes,Greater than 10,Yes,0,0,0,1,0,0,0,0,1523.03,361.9,12540,370,0.043937775,Urban,235129,63314,70165,70065,56104,6779,16635,35.36,63314,121.36,0.493962889,0.057521616,0.022489782,0.017832764,0.087531983,0.103500016,0.052162855
1040,85051,7803,PHOENIX,AZ,West,Mountain,3,7,9,7,4,3,42000,11.22666667,372,468,357,378,425,324,Yes,Between 1 and 10,Yes,0,0,0,0,0,1,0,0,1731.22,1494.46,11479,270,0.04109589,Urban,171944,61527,51386,54819,46831,8167,18243,26.65,61527,89.85,0.63327595,0.071872238,0.033580701,0.039332573,0.04263169,0.039901182,0.118381566
1042,85022,3472,PHOENIX,AZ,West,Mountain,0,5,2,10,1,4,44000,10.9825,154,286,186,189,299,209,Yes,Between 1 and 10,Yes,0,0,0,0,0,0,0,0,1870.69,1378.3,12849,478,0.12999728,Urban,172637,69267,49106,64149,59693,5931,20123,35.31,69267,77.39,0.777695396,0.036689702,0.016276928,0.034755006,0.024730391,0.016039384,0.163041526
1045,85282,4500,TEMPE,AZ,West,Mountain,5,6,6,18,2,3,48000,10.86666667,439,503,485,391,480,516,No,Greater than 10,No,0,0,0,0,0,1,0,0,1849.56,1679.64,14031,337,0.046221369,Urban,173750,67962,73154,53257,47060,5013,15482,41.68,67962,89.62,0.67534964,0.07163741,0.048897842,0.049939568,0.022409582,0.01849563,0.150860432
1049,85364,4000,YUMA,AZ,West,Mountain,11,3,7,19,3,4,57000,10.71,97,92,159,112,128,125,Yes,Greater than 10,Yes,0,0,0,0,0,0,0,0,3537.59,1813.05,16104,506,0.041939494,Emerging suburban,92120,30909,20479,38055,33878,3919,8437,139.26,30909,95.39,0.686582718,0.028397742,0.021005211,0.018389058,0.044485425,0.029894206,0.218085106
1055,92021,4030,EL CAJON,CA,West,Pacific,2,0,4,4,0,5,0,13.456,205,127,531,196,125,479,No,Between 1 and 10,Yes,0,0,0,0,0,0,0,0,805.36,854.2,16563,430,0.060906516,Urban,212391,76434,57149,84152,76219,8590,22162,54.51,76434,79.52,0.74602502,0.053161386,0.007519151,0.036169141,0.032642541,0.021665751,0.129059141
1059,93727,3200,FRESNO,CA,West,Pacific,0,0,4,1,0,5,0,11.742,462,167,394,430,146,435,Yes,Greater than 10,No,0,0,0,0,0,0,0,0,773.54,1741.18,11772,459,0.065115619,Urban,165112,43566,51926,52351,41476,5278,9130,42.14,43566,124.78,0.392061146,0.074446436,0.020174185,0.161890111,0.077422761,0.105977138,0.080442366
1062,90042,3300,HIGHLAND PARK,CA,West,Pacific,3,2,5,5,2,5,0,13.618,308,66,434,271,86,425,Yes,Between 1 and 10,Yes,0,0,0,0,0,1,0,0,1219.13,748,15596,501,0.066542702,Superurban,109051,35210,39665,36583,30811,4055,7660,10.6,35210,127.82,0.48083007,0.02589614,0.010417144,0.159246591,0.047032093,0.051491054,0.227214789
1069,95340,4000,MERCED,CA,West,Pacific,1,4,4,6,4,5,0,12.258,245,210,329,248,256,271,No,"0 (e.g., street parking, structure/lot more than 2 doors down, parking in back)",Yes,0,0,0,0,0,0,0,0,755.77,1175.9,11821,392,0.060765773,Emerging suburban,100447,30622,28390,34529,30598,3951,7978,141.31,30622,105.25,0.545969516,0.057283941,0.014057165,0.116051251,0.057899549,0.060316113,0.171812
1071,95355,3010,MODESTO,CA,West,Pacific,1,1,3,6,2,7,0,13.73571429,175,270,250,163,232,248,Yes,Greater than 10,Yes,0,0,0,0,0,0,0,0,1249.29,1584.66,24449,776,0.043881475,Urban,132322,46351,32790,53084,48796,5829,12994,33.11,46351,87.82,0.699891175,0.038217379,0.012582942,0.058811082,0.038079006,0.02847835,0.195643959
1072,91950,5030,NATIONAL CITY,CA,West,Pacific,4,2,7,5,4,5,0,13.266,429,143,866,317,107,740,Yes,Between 1 and 10,No,0,0,0,1,0,0,0,0,322.12,921.91,16199,433,0.070178282,Urban,279241,86102,91526,97126,73834,11423,22744,34.31,86102,119.27,0.464176106,0.094617195,0.009396901,0.105647093,0.052623632,0.061194862,0.067740769
1073,94587,5284,UNION CITY,CA,West,Pacific,5,4,8,11,2,6,0,14.17833333,166,51,260,102,56,210,Yes,Greater than 10,Unable to determine,0,0,0,0,0,0,0,0,698.12,644.46,10507,312,0.043551089,Urban,265838,80034,70800,111258,97341,10901,16839,63.51,80034,146.42,0.308560101,0.083129575,0.007282631,0.345936247,0.056176125,0.055451433,0.106534807
1077,92054,4104,OCEANSIDE,CA,West,Pacific,3,0,8,4,1,6,0,14.11833333,335,281,1213,270,185,918,No,Between 1 and 10,Yes,0,0,0,0,0,1,0,0,655.6,1304.72,21221,506,0.036295818,Suburban,127818,46955,37730,48373,43271,4689,12888,91.16,46955,87.29,0.69957283,0.042349278,0.009873414,0.052480871,0.028537962,0.030028751,0.23318312
1078,93030,4424,OXNARD,CA,West,Pacific,1,0,4,7,0,6,0,17.05333333,201,106,668,166,82,703,Yes,Greater than 10,No,1,0,0,0,0,0,0,0,1134.58,1679.41,20642,663,0.100439327,Urban,166492,43831,48916,60173,52603,6652,11231,33.56,43831,122.2,0.517111933,0.031791317,0.014349038,0.061396343,0.068901006,0.115169629,0.123032939
1081,91104,2803,PASADENA,CA,West,Pacific,3,4,6,6,3,6,0,12.59333333,292,89,476,242,91,516,Yes,Between 1 and 10,Yes,0,0,0,1,0,0,0,0,988.69,860.92,12112,428,0.064996204,Urban,166378,64208,54230,64961,55566,7381,11697,25.5,64208,115.26,0.539897102,0.136394235,0.006707618,0.125605549,0.027488786,0.027940444,0.23453221
1089,95821,4247,SACRAMENTO,CA,West,Pacific,4,8,10,7,4,5,0,12.58,281,362,579,284,340,404,Yes,Greater than 10,No,1,0,0,0,0,0,0,0,1111.7,2587.5,13296,259,0.034195934,Urban,165140,63649,47910,55085,47854,9514,18993,37.83,63649,81.49,0.650714545,0.102942958,0.01300109,0.062861814,0.028468633,0.025907713,0.139760204
1090,93905,3200,SALINAS,CA,West,Pacific,2,2,3,6,1,6,0,13.53166667,408,125,682,316,98,491,Yes,Greater than 10,No,0,0,0,0,0,0,0,0,2177.96,3884.8,12692,492,0.063896104,Suburban,141713,37198,41946,52351,44295,3708,6996,87.04,37198,125.18,0.466576814,0.019080818,0.01292048,0.058018672,0.080058068,0.108473574,0.135104048
1092,92154,4500,SAN DIEGO,CA,West,Pacific,4,0,5,2,2,4,0,13.875,247,179,736,188,147,617,No,Between 1 and 10,Yes,0,0,0,0,0,1,0,0,-124.21,341.96,12987,425,0.062052854,Urban,231716,69533,66666,87114,68855,9394,18447,48.76,69533,118.42,0.54939236,0.038586028,0.009049871,0.077698562,0.05949693,0.059194915,0.07630893
