STORE_NO,REVENUE_2013,ZIP,SQUARE_FEET,U_CITY,U_STATE,CENSUS_REGION,CENSUS_DIVISION,TOT_ATTRITION_2012,TOT_ATTRITION_2013,NUM_ASSISTANT_MANAGERS,NUM_CUST_ACC_REPS,NUM_STORE_MANAGERS,NUM_EMP_PAY_TYPE_H,AVG_PAY_RATE_PAY_TYPE_S,AVG_PAY_RATE_PAY_TYPE_H,NAT_CURR_ROBBERY,NAT_CURR_BURGLARY,NAT_CURR_MOT_VEH_THEFT,NAT_PAST_ROBBERY,NAT_PAST_BURGLARY,NAT_PAST_MOT_VEH_THEFT,FRONTAGE_ROAD,NUM_PARKING_SPACES,SIGNAGE_VISIBILITY_IND,AUTOZONE_IND,TARGET_IND,WALMART_IND,PAYLESS_IND,COMP_PRESENCE_IND,STRIP_SHOP_CENTER_IND,SINGLE_TENANT_IND,PAD_IN_SHOP_CENTER_IND,MARKETING_EXP_2013,MARKETING_EXP_2012,TOT_NUM_LEADS,NUM_CONVERTED_TO_AGREEMENT,PERC_CONVERTED_TO_AGREEMENT,URBANICITY,CYA01V001,CYB02V001,CYA12V001,CYA12V002,CYA12V003,CYA12V007,CYA12V008,CYA21V001,CYB07VBASE,XCX03V069,PERC_CYEA07V001,PERC_CYEA07V004,PERC_CYEA07V007,PERC_CYEA07V010,PERC_CYB11V006,PERC_CYB11V007,PERC_CYC13VV01
1263,713303,30901,4800,AUGUSTA,GA,South,South Atlantic,8,4,7,9,2,4,41000,11.225,339,415,228,434,564,370,No,Greater than 10,Yes,0,0,0,0,0,1,0,0,2459.9,1559.46,12016,420,0.108639421,Suburban,108075,46156,33741,33910,26946,6968,12134,84.83,46156,55.01,0.469035392,0.471219061,0.003118205,0.014674994,0.018935783,0.013584366,0.191071016
1264,703706,30909,4200,AUGUSTA,GA,South,South Atlantic,1,1,5,5,3,5,41000,11.926,282,577,372,363,680,472,Yes,Greater than 10,Yes,0,0,0,0,0,1,0,0,717.49,612.82,10773,322,0.087523784,Suburban,103235,44984,33313,31719,24884,6414,11550,72.16,44984,59.49,0.414103744,0.524928561,0.00319659,0.019208602,0.017495109,0.012937934,0.212534509
1269,598622,30705,4000,CHATSWORTH,GA,South,South Atlantic,2,2,4,4,1,4,43000,10.2275,27,45,25,27,36,26,Yes,Greater than 10,Yes,0,0,0,0,0,0,0,1,1882.8,622.48,9565,386,0.06704881,Emerging suburban,20916,7381,3786,9198,8341,1070,2248,108.53,7381,34.97,0.866704915,0.007745267,0.004207305,0.003729203,0.033870749,0.024793388,0.8824345
1277,853636,30721,3200,DALTON,GA,South,South Atlantic,3,1,6,7,1,4,45000,10.47,248,229,261,235,345,255,Yes,Between 1 and 10,Yes,0,0,1,0,1,0,0,0,2390.73,876.41,13067,428,0.066500932,Emerging suburban,58510,19061,12772,22446,19601,2468,5807,69.81,19061,51.65,0.687967869,0.04539395,0.007981542,0.011621945,0.054037039,0.045747862,0.290616989
1284,649799,30297,3900,FOREST PARK,GA,South,South Atlantic,2,2,5,5,4,4,60000,13.875,788,944,642,848,1054,981,Yes,Greater than 10,Yes,0,0,0,0,1,0,0,1,2245.43,885,9219,430,0.117166213,Suburban,161508,56298,53255,44434,33855,6946,17542,85.82,56298,77.41,0.189594324,0.634154345,0.004005994,0.059124006,0.041777683,0.037905432,0.107134012
1288,576147,30728,8250,LA FAYETTE,GA,South,South Atlantic,2,1,2,6,1,3,50000,11.51666667,45,54,46,39,61,36,No,Greater than 10,Yes,0,0,0,0,0,1,0,0,907.17,399.69,10923,422,0.061203771,Emerging suburban,13644,5271,2515,6221,5639,732,1587,68.6,5271,27.34,0.915567282,0.052843741,0.002638522,0.006449722,0.018971732,0.012521343,1.248167693
1289,722567,30045,4000,LAWRENCEVILLE,GA,South,South Atlantic,4,3,9,5,3,4,50000,14.75,181,391,207,157,429,155,No,Greater than 10,Yes,0,0,0,0,0,1,0,0,689.33,655.52,11507,324,0.083290488,Suburban,186509,58604,40815,84308,76020,4906,13746,94.61,58604,65.47,0.543748559,0.274898262,0.004300061,0.079449249,0.044860419,0.032711078,0.138786868
1294,593507,37407,4800,CHATTANOOGA,TN,South,East South Central,1,2,8,9,4,3,44000,10.69,641,1097,399,659,1133,399,No,Greater than 10,Yes,0,0,0,0,0,0,1,0,2474.23,681.8,9546,440,0.068153656,Suburban,115840,47510,33459,37599,32208,9385,13630,76.55,47510,46.56,0.596823204,0.332639848,0.00515366,0.009953384,0.02081667,0.01719638,0.167567334
1307,974017,96720,4032,HILO,HI,West,Pacific,3,3,5,11,1,3,49000,13.08333333,161,160,134,196,194,227,Yes,Between 1 and 10,Yes,0,0,0,0,0,1,0,0,357.01,1382.63,19078,444,0.045131124,Emerging suburban,42061,15035,12702,15275,13392,3250,3557,99.81,15035,113.23,0.170205178,0.005420699,0.003185849,0.354294953,0.034852012,0.033056202,0.578612016
1308,1190515,96720,4432,HILO,HI,West,Pacific,3,1,4,4,2,4,62000,13.235,229,238,194,308,298,359,No,Between 1 and 10,Yes,0,0,0,0,0,1,0,0,920,2745.23,19041,508,0.036504743,Emerging suburban,40381,14426,12222,14717,12844,3192,3487,130.48,14426,111.86,0.178970308,0.005819569,0.003219336,0.351700057,0.03389713,0.031886871,0.61301107
1310,2026938,96732,4749,KAHULUI,HI,West,Pacific,2,3,6,12,2,5,62000,12.514,74,62,119,101,92,207,Yes,Between 1 and 10,Yes,0,0,0,0,0,1,0,0,914.29,1357.54,24104,756,0.053632236,Emerging suburban,62033,18666,16070,24490,22038,3073,5873,112.96,18666,125.87,0.180033208,0.004449245,0.003159609,0.420518111,0.049930355,0.066645237,0.406283752
1313,1159441,96744,3762,KANEOHE,HI,West,Pacific,3,2,11,10,1,3,57000,12.89666667,59,41,111,57,38,120,Yes,Between 1 and 10,Unable to determine,0,0,0,0,0,0,0,0,969.47,1797.58,14438,512,0.04634323,Suburban,87984,26808,24511,37382,34112,3884,6737,40.34,26808,106.73,0.31257956,0.011002,0.002920986,0.295383252,0.046888988,0.046888988,0.383069649
1316,1397149,96792,4311,WAIANAE,HI,West,Pacific,5,6,8,9,0,4,61000,11.725,274,241,678,275,186,668,Yes,Between 1 and 10,Yes,0,0,0,0,0,0,0,0,1317.25,1815.5,18467,526,0.060079954,Emerging suburban,29550,7179,8556,9370,8027,1504,2541,17.62,7179,100.5,0.11499154,0.011844332,0.002368866,0.163350254,0.083159214,0.157403538,0.608798646
1321,1190387,51501,6208,COUNCIL BLUFFS,IA,Midwest,West North Central,2,3,4,10,0,4,53000,11.9475,283,112,224,272,148,246,Yes,Greater than 10,Yes,0,0,0,0,0,0,0,1,607.66,705.23,18175,635,0.051151925,Suburban,105828,41159,31885,35461,30768,4959,11995,60.57,41159,50.91,0.77626904,0.081670257,0.01180217,0.015033829,0.025608008,0.023105518,0.190374948
1322,558167,52804,5160,DAVENPORT,IA,Midwest,West North Central,1,2,6,6,3,3,48000,12.17333333,118,94,67,153,102,66,No,Greater than 10,Yes,0,0,0,0,0,1,0,0,614.46,290.51,9222,340,0.054557125,Suburban,81781,32985,23388,28809,26686,4194,8666,47.08,32985,50.81,0.767476553,0.136449787,0.004255267,0.022499114,0.021646203,0.015279673,0.263643145
1323,938334,50320,4003,DES MOINES,IA,Midwest,West North Central,5,1,4,9,0,4,47000,12.0575,495,376,650,425,361,438,Yes,"0 (e.g., street parking, structure/lot more than 2 doors down, parking in back)",Yes,0,0,1,0,0,0,0,0,926.44,609.03,12171,430,0.055975007,Suburban,95935,37479,23016,36701,32326,4222,10337,80.05,37479,55.67,0.760077136,0.092448012,0.006097879,0.045249388,0.026975106,0.020384749,0.231583885
1325,886882,52002,3900,DUBUQUE,IA,Midwest,West North Central,0,5,5,8,1,3,46000,11.09,188,79,114,200,98,105,No,Between 1 and 10,Yes,0,0,0,0,0,1,0,0,1109.92,599.04,11184,391,0.045051273,Emerging suburban,62976,25741,15664,26562,25572,3253,5539,74.32,25741,40.61,0.920239456,0.038125635,0.002508892,0.011877541,0.02008469,0.008313585,0.424495046
1326,811456,52627,4000,FORT MADISON,IA,Midwest,West North Central,0,1,3,3,1,4,43000,12.985,40,57,37,37,57,29,No,Greater than 10,No,0,0,0,0,0,0,0,0,846.39,288.14,8302,481,0.075498352,Emerging suburban,13162,5382,3151,4986,4704,871,1877,67.95,5382,38.39,0.908904422,0.046117611,0.003266981,0.004786507,0.019323672,0.008361204,1.748138581
1328,533245,52761,4500,MUSCATINE,IA,Midwest,West North Central,2,3,2,9,1,3,44000,10.67333333,47,156,43,56,188,54,No,Greater than 10,Yes,0,0,0,0,0,0,0,0,149.42,390.44,7958,279,0.054856469,Emerging suburban,27258,10649,5661,11302,10884,1417,2918,103.23,10649,47.94,0.888142931,0.021094725,0.004439064,0.008107712,0.024509344,0.014930979,0.928938293
1330,946313,52577,3808,OSKALOOSA,IA,Midwest,West North Central,0,1,2,4,1,4,49000,12.9025,34,45,25,53,66,31,Yes,Between 1 and 10,Yes,0,0,0,0,0,0,1,0,1259.49,975.2,11428,489,0.158766234,Emerging suburban,14984,6085,3056,6616,6375,745,1570,129.83,6085,38.43,0.943606514,0.016017085,0.003270155,0.014749066,0.020049302,0.007723911,1.596369461
1334,738929,60506,6208,AURORA,IL,Midwest,East North Central,2,3,4,11,0,5,46000,12.632,407,373,519,303,286,424,Yes,Greater than 10,No,0,0,0,0,0,0,0,0,715.27,256.33,9639,261,0.04299127,Suburban,208461,66094,49905,85328,77322,7339,14697,84.24,66094,74.18,0.663745257,0.082547815,0.005128058,0.027324056,0.050170969,0.048067903,0.127928006
1338,828603,61701,5037,BLOOMINGTON,IL,Midwest,East North Central,1,0,3,4,2,4,46000,11.2225,125,216,78,157,204,95,No,Greater than 10,Yes,0,0,0,0,0,0,0,0,856.26,775.17,10259,339,0.04,Suburban,113453,44667,42677,37069,35129,4716,10047,104.64,44667,56.38,0.811878046,0.099979727,0.002344583,0.0379276,0.015044664,0.008059641,0.247908826
1342,734852,62206,5000,CAHOKIA,IL,Midwest,East North Central,0,2,7,4,1,4,48000,11.3425,569,1388,712,584,1400,666,Yes,Greater than 10,Yes,0,0,0,0,0,0,0,0,1243.74,930.23,11386,432,0.044312237,Suburban,73800,30826,29082,18256,13647,3714,7408,77.77,30826,75.3,0.365243902,0.598319783,0.002154472,0.011815718,0.022513463,0.018426004,0.26302168
1343,964561,61520,5588,CANTON,IL,Midwest,East North Central,3,3,4,8,1,4,48000,10.6675,54,136,44,47,115,41,No,Greater than 10,Yes,0,0,0,0,0,1,0,0,600.41,682.34,11748,449,0.083209785,Emerging suburban,17297,6510,4725,6213,5525,1040,2525,75.33,6510,34.55,0.87737758,0.070474649,0.005261028,0.004567266,0.013517665,0.007219662,1.306931838
1350,828113,60618,4058,CHICAGO,IL,Midwest,East North Central,0,0,1,3,1,4,46000,12.4275,254,63,278,266,80,266,Yes,Greater than 10,Yes,0,0,0,0,0,1,0,0,271.76,541.11,10970,594,0.091216216,Superurban,259377,109688,100263,88967,79186,8701,15788,13.99,109688,77.65,0.661982365,0.058494007,0.006118507,0.094561199,0.021624973,0.018780541,0.134094388
1351,761745,60651,3000,CHICAGO,IL,Midwest,East North Central,5,3,5,12,1,4,47000,12.57,1153,486,1102,1156,494,1145,Unable to determine,Greater than 10,Unable to determine,0,0,0,0,0,1,0,0,989.21,576.11,14135,369,0.040213601,Superurban,254577,96111,112281,63960,53769,9219,17325,15.85,96111,88.26,0.418085687,0.353303716,0.005789997,0.020928835,0.033513334,0.033971138,0.096756581
1352,500656,60608,2560,CHICAGO,IL,Midwest,East North Central,2,5,2,7,2,3,43000,13.00666667,554,115,386,628,114,466,No,Greater than 10,Yes,0,0,0,0,0,1,0,0,870.66,972.65,11537,265,0.043976104,Superurban,186981,58767,79934,48852,38970,7637,9859,13.81,58767,100.32,0.341719212,0.300977105,0.008615849,0.071632947,0.048020147,0.047220379,0.090993203
1356,825155,67801,5000,DODGE CITY,KS,Midwest,West North Central,7,3,5,16,2,6,48000,10.67833333,56,62,34,55,52,41,No,Greater than 10,Yes,0,0,0,0,0,1,0,0,673.71,737.96,13078,395,0.038042955,Emerging suburban,29880,9399,6807,11759,10498,1081,2074,127.94,9399,74.64,0.731659973,0.023427042,0.010374833,0.016566265,0.062985424,0.048196617,0.664457831
1358,741960,60617,4200,CHICAGO,IL,Midwest,East North Central,2,1,3,5,2,4,45000,13.5875,593,341,430,599,328,398,No,Greater than 10,Yes,0,0,0,0,0,1,0,0,332.06,726.21,9104,302,0.051970401,Urban,260656,97313,100777,61473,48773,17830,28413,38.5,97313,122.9,0.081344761,0.838595697,0.00364465,0.001373458,0.03516488,0.035380679,0.075325333
1359,789380,60641,3550,CHICAGO,IL,Midwest,East North Central,3,2,3,16,1,5,48000,12.028,291,78,361,314,89,400,No,Greater than 10,Yes,1,0,0,0,0,1,0,0,964.18,571.19,11690,388,0.06125671,Superurban,260256,89655,93181,85016,72620,9976,16371,13.39,89655,85.04,0.565105127,0.051049736,0.008860507,0.040371788,0.044392393,0.045608165,0.08522378
1360,931771,60649,2400,CHICAGO,IL,Midwest,East North Central,1,6,7,8,1,3,52000,12.49666667,811,399,503,790,315,492,Yes,Greater than 10,Yes,0,0,0,0,1,0,0,0,904.64,265.49,13379,396,0.057810219,Urban,215958,91788,93937,45590,34734,12648,22962,18.26,91788,111.47,0.104423082,0.826243992,0.002833884,0.0226294,0.023401752,0.019773827,0.105437168
1365,1038067,60619,3800,CHICAGO,IL,Midwest,East North Central,0,2,4,4,1,4,52000,13.85,913,512,597,871,398,497,No,Greater than 10,Yes,0,1,0,0,0,0,0,0,722.2,1036.55,12304,313,0.054691595,Superurban,97220,39522,38857,21251,15541,7391,12326,11.67,39522,132.69,0.007200165,0.973050813,0.002170335,0.000936021,0.027275948,0.024897525,0.228173215
1366,619228,60645,3125,CHICAGO,IL,Midwest,East North Central,2,1,2,5,2,4,45000,12.79,486,167,388,504,168,391,No,Greater than 10,Yes,0,0,0,0,0,1,0,0,447.77,423.19,8697,308,0.04723202,Superurban,155929,60595,48361,59850,52359,6496,10410,10.65,60595,79.98,0.524225769,0.190516197,0.0048676,0.145104503,0.029639409,0.025959238,0.186360459
1368,594975,60411,4475,CHICAGO HEIGHTS,IL,Midwest,East North Central,4,2,6,6,1,4,45000,12.2025,201,187,149,221,199,179,Yes,Greater than 10,Yes,0,0,0,0,0,0,0,0,1037.04,545.73,8389,340,0.060703446,Suburban,125623,45486,35788,45070,39987,7811,10986,64.41,45486,90.97,0.425320204,0.457591365,0.003239853,0.009639955,0.035241613,0.029327705,0.214252167
1371,981602,62234,8000,COLLINSVILLE,IL,Midwest,East North Central,2,2,5,5,0,4,48000,12.5875,70,203,90,69,154,76,Yes,Greater than 10,Yes,0,0,0,0,0,1,0,0,1250.84,581.34,10378,650,0.069593148,Emerging suburban,57035,23138,14051,24490,22944,2359,5302,64.26,23138,49.46,0.891224687,0.062014553,0.002384501,0.009906198,0.017374017,0.008730227,0.504181643
1372,940701,61832,4120,DANVILLE,IL,Midwest,East North Central,4,2,6,7,1,5,48000,11.008,303,300,146,319,276,158,No,Greater than 10,Yes,0,0,0,0,0,1,0,0,1409.48,592.45,11077,459,0.064106145,Emerging suburban,43842,18276,11641,14446,13310,3363,5258,75.54,18276,48.63,0.725742439,0.212034123,0.002759911,0.010697505,0.022269643,0.015484789,0.470530542
1376,525427,60115,5284,DE KALB,IL,Midwest,East North Central,2,3,2,11,3,3,41000,11.72,77,136,70,177,250,117,Yes,Greater than 10,No,0,0,0,0,0,0,0,0,1149.78,1378.01,9377,304,0.046819652,Emerging suburban,70669,25760,28719,23798,21987,2140,3768,121.55,25760,56.36,0.803647993,0.093110133,0.002561236,0.032064979,0.022321429,0.01253882,0.354809039
1377,473829,61021,5200,DIXON,IL,Midwest,East North Central,6,1,3,8,3,3,39000,10.58333333,209,249,181,136,136,78,Yes,Greater than 10,Yes,1,0,0,0,1,1,0,0,470.12,616.38,7564,245,0.049435028,Emerging suburban,20921,7994,4810,9550,8762,1047,2059,84.1,7994,39.12,0.864920415,0.080541083,0.002198748,0.009989962,0.017137853,0.007880911,1.220257158
1380,612877,60118,4085,EAST DUNDEE,IL,Midwest,East North Central,3,3,1,10,3,3,44000,11.76666667,150,144,86,159,128,125,Yes,Greater than 10,No,0,0,0,0,0,0,0,0,583.7,231.22,7487,294,0.102833158,Suburban,107456,33681,25731,45113,41717,3570,6468,56.86,33681,77.24,0.675271739,0.055762359,0.007910214,0.078208755,0.053709807,0.052789407,0.265987939
1381,1088132,61244,5000,EAST MOLINE,IL,Midwest,East North Central,1,0,4,7,1,4,52000,11.5225,80,167,93,72,154,66,Yes,Greater than 10,Yes,0,0,0,0,0,0,0,0,283.65,689.03,15602,549,0.105112005,Suburban,77275,32866,18000,31938,29377,4658,7998,44.04,32866,51.66,0.815956001,0.071627305,0.002950502,0.021106438,0.018590641,0.01049717,0.371724361
1382,818551,62203,3300,EAST SAINT LOUIS,IL,Midwest,East North Central,1,1,5,7,1,4,45000,10.7525,232,294,164,274,389,285,Yes,Between 1 and 10,Yes,0,0,0,0,0,1,0,0,1034.22,743.63,9183,371,0.054223911,Emerging suburban,93817,37538,28790,30722,26775,5816,9623,79.1,37538,75.65,0.446241086,0.507360073,0.002526195,0.008559216,0.02517449,0.019686718,0.227389492
1385,694835,61032,4400,FREEPORT,IL,Midwest,East North Central,1,2,3,7,0,4,43000,10.7725,150,264,100,150,232,95,No,Greater than 10,No,0,0,0,0,0,0,0,0,760.89,651.59,9882,437,0.06178425,Emerging suburban,30192,13033,6276,12745,11754,2178,3417,120.73,13033,45.99,0.797496025,0.140003975,0.001987281,0.00877716,0.017417325,0.010972148,0.798787758
1389,424124,62650,5000,JACKSONVILLE,IL,Midwest,East North Central,1,1,1,3,3,2,41000,13.13,120,153,93,115,152,91,No,"0 (e.g., street parking, structure/lot more than 2 doors down, parking in back)",Yes,0,0,0,0,0,0,0,0,512.28,382.49,8564,173,0.061500178,Emerging suburban,25706,10149,6190,10505,9397,1552,3155,128.21,10149,38.94,0.879833502,0.08114837,0.002411888,0.006068622,0.016356291,0.008769337,0.976464639
1391,775831,60435,3500,CREST HILL,IL,Midwest,East North Central,1,5,3,11,3,4,45000,11.5825,253,124,271,216,123,167,No,Greater than 10,Yes,0,0,0,0,0,0,0,0,736.67,807.18,8893,268,0.042681956,Suburban,168605,57930,45101,62750,56977,7845,16258,82.93,57930,68.5,0.683253759,0.163808903,0.003095994,0.019768097,0.040410841,0.028758847,0.149355001
1394,758231,61443,4367,KEWANEE,IL,Midwest,East North Central,3,2,2,10,2,4,42000,10.845,57,80,34,61,76,33,Yes,Greater than 10,Yes,0,0,0,0,0,0,0,0,887.7,95.04,10222,362,0.045892495,Emerging suburban,13920,5685,3349,5372,4845,1017,1383,69.68,5685,41.31,0.876867816,0.046336207,0.002586207,0.00387931,0.021811785,0.013192612,1.595258621
1398,504297,61938,4160,MATTOON,IL,Midwest,East North Central,2,0,3,4,2,3,40000,11.42333333,39,87,35,43,99,38,Yes,Greater than 10,Yes,0,0,0,0,0,1,0,0,582.2,474.88,8803,348,0.074598071,Emerging suburban,21213,9296,4760,8351,7840,1751,2374,105.87,9296,36.09,0.949040683,0.02192052,0.002027059,0.00575119,0.015167814,0.005701377,1.200160279
1399,776649,60131,8500,FRANKLIN PARK,IL,Midwest,East North Central,2,3,4,9,2,4,45000,11.83,144,105,181,132,126,191,Yes,Greater than 10,Yes,0,0,0,0,0,0,0,0,1191.79,966.39,11288,357,0.059679037,Urban,167511,57860,44946,66878,58691,8912,12507,42.36,57860,72.74,0.643301037,0.129054211,0.005020566,0.035281265,0.040338749,0.037003111,0.146700814
1402,822217,61350,4452,OTTAWA,IL,Midwest,East North Central,3,0,3,8,2,4,60000,13.08,70,105,56,63,101,59,Yes,Greater than 10,No,0,0,1,0,0,0,0,0,1442.46,833.75,11724,506,0.063752047,Emerging suburban,22213,9206,5613,8411,7864,1598,2481,95.83,9206,41.22,0.937153919,0.018907847,0.003331383,0.009003737,0.021833587,0.010753856,1.260748211
1403,896086,61944,4200,PARIS,IL,Midwest,East North Central,3,2,8,8,1,4,47000,10.4475,21,20,12,23,20,14,Yes,Greater than 10,Yes,0,0,0,0,0,1,0,0,542.84,420.64,13010,538,0.069815728,Emerging suburban,11251,4847,2624,4271,3860,962,1351,116.59,4847,32.25,0.980890588,0.003910764,0.001510977,0.001955382,0.012997731,0.008252527,2.094836015
1404,809921,61554,7817,PEKIN,IL,Midwest,East North Central,1,1,3,4,0,4,51000,13.6325,84,253,90,83,256,84,Yes,Greater than 10,Yes,0,0,0,0,0,0,0,0,793.53,361.8,10288,359,0.04407071,Emerging suburban,42955,17438,9526,17572,16258,2691,5211,51.94,17438,37.25,0.953602607,0.016575486,0.004050751,0.005750204,0.018408074,0.008028444,0.59210802
1407,562844,61604,5184,PEORIA,IL,Midwest,East North Central,1,0,3,6,2,4,44000,11.49,251,307,235,210,284,147,Yes,Greater than 10,Yes,0,0,0,0,0,0,0,0,799.57,347.65,8911,222,0.028940164,Suburban,114878,48772,33454,40130,36138,6417,12033,60.54,48772,60.83,0.662267797,0.245295009,0.003586413,0.030414875,0.020852128,0.013286312,0.238975261
1408,1060517,61354,4200,PERU,IL,Midwest,East North Central,2,1,2,9,1,5,50000,12.324,33,41,26,39,42,29,Yes,Greater than 10,Yes,0,0,1,0,0,0,0,0,1068.98,1208.14,15453,535,0.091374893,Emerging suburban,29275,12472,6613,11941,11012,2143,3161,68.49,12472,42.19,0.917130658,0.011238258,0.002971819,0.01058924,0.017559333,0.007857601,0.939299744
1409,858493,61764,6350,PONTIAC,IL,Midwest,East North Central,6,2,5,11,2,5,45000,10.704,66,59,50,69,78,51,Yes,"0 (e.g., street parking, structure/lot more than 2 doors down, parking in back)",No,0,0,0,0,1,0,0,0,1078.7,1250.36,10418,395,0.099848332,Emerging suburban,13433,4970,3638,5322,4673,581,1596,94.31,4970,38.09,0.864736098,0.091565548,0.002903298,0.006699918,0.019517103,0.012474849,1.816422244
1412,523717,61071,4300,ROCK FALLS,IL,Midwest,East North Central,2,1,5,3,2,3,44000,12.71,88,122,74,82,124,66,Yes,Greater than 10,Yes,0,0,0,0,0,0,0,0,1143.94,759.52,10354,339,0.070639717,Emerging suburban,32730,13457,7627,13201,12325,2277,3109,91.32,13457,45.03,0.879804461,0.021478766,0.003880232,0.00568286,0.022664784,0.010700751,0.734036053
1413,995418,61201,4176,ROCK ISLAND,IL,Midwest,East North Central,1,2,5,9,1,5,50000,12.042,138,96,75,186,122,82,Yes,Between 1 and 10,Yes,0,0,0,0,0,0,1,0,464.75,792.77,11556,614,0.099320608,Suburban,83318,33862,24526,29010,26325,4542,8941,47.35,33862,53.28,0.747917617,0.145358746,0.003768693,0.016323003,0.02031776,0.016065206,0.280443602
1414,745217,61101,4240,ROCKFORD,IL,Midwest,East North Central,1,3,2,8,1,4,44000,11.265,302,234,120,380,277,206,Unable to determine,Greater than 10,No,0,0,1,0,0,0,0,0,450.03,283.23,9748,407,0.06584695,Suburban,77629,30076,21950,24186,20527,4967,9908,64.13,30076,54.34,0.66875781,0.238055366,0.003916062,0.007213799,0.027197766,0.018586248,0.243761996
1419,856424,60411,3950,S CHICAGO HEIGHT,IL,Midwest,East North Central,3,0,3,5,0,4,46000,12.5525,173,173,137,188,175,156,No,Greater than 10,Yes,0,0,0,0,0,1,0,0,1679.84,1081.4,14752,353,0.026874762,Suburban,121645,43427,34249,42725,37577,7671,11051,85.15,43427,87.98,0.421981997,0.469193144,0.003543097,0.008491923,0.037580307,0.032099846,0.205705126
1421,637684,62704,6000,SPRINGFIELD,IL,Midwest,East North Central,2,4,3,7,2,3,44000,12.15,190,211,103,199,210,93,Yes,Between 1 and 10,Yes,0,0,0,0,0,1,0,0,519.11,921.11,9433,352,0.063583815,Suburban,122257,53859,33160,44381,40434,6556,14958,92.63,53859,53.47,0.760537229,0.180570438,0.002306616,0.022100984,0.015763382,0.009543438,0.256844189
1423,710178,61364,4180,STREATOR,IL,Midwest,East North Central,1,0,3,3,1,4,41000,11.3975,47,65,38,44,63,37,Yes,Greater than 10,No,0,0,0,0,0,0,0,0,859.95,888.86,8164,313,0.078367551,Emerging suburban,19415,8045,4828,7926,7507,1146,1813,94.21,8045,40.27,0.926706155,0.020499614,0.002266289,0.004738604,0.021255438,0.014294593,1.260056657
1424,503366,62568,3750,TAYLORVILLE,IL,Midwest,East North Central,5,5,5,9,2,3,39000,11.16666667,46,88,45,54,121,53,No,Between 1 and 10,Yes,0,0,0,0,0,0,1,0,537.8,210.08,9060,285,0.04150284,Emerging suburban,17992,7176,3761,7278,6713,1361,2516,166.12,7176,35.47,0.953479324,0.022176523,0.001778568,0.005558026,0.015189521,0.009057971,1.40084482
1425,705574,60181,7800,VILLA PARK,IL,Midwest,East North Central,2,2,2,10,1,4,46000,12.2975,60,61,60,63,68,72,No,Greater than 10,Yes,0,0,0,0,0,1,0,0,608.21,181.21,11716,460,0.069152135,Urban,234820,82621,55912,103909,96454,10643,16990,64.77,82621,64.06,0.760063027,0.039672941,0.003679414,0.072357551,0.035705208,0.027172269,0.13988587
1426,931384,60085,4000,WAUKEGAN,IL,Midwest,East North Central,6,3,5,16,1,6,46000,11.58833333,266,143,266,300,187,317,No,Greater than 10,Yes,0,0,0,0,0,0,0,0,363.9,584.8,10945,275,0.099637681,Suburban,154224,49558,42274,58337,51933,4927,11277,59.36,49558,84.9,0.515574748,0.18469888,0.009363005,0.051276066,0.046813834,0.046047056,0.162199139
1432,810585,46517,3455,ELKHART,IN,Midwest,East North Central,4,1,6,5,0,5,42000,11.372,383,762,287,402,825,379,No,Greater than 10,Yes,0,0,0,0,0,1,0,0,1339.57,1204.76,15313,487,0.068989942,Emerging suburban,77783,28082,18248,29916,27131,2482,8571,72.61,28082,53.97,0.733939293,0.113495237,0.004923955,0.008935114,0.036785129,0.02709921,0.25513287
1435,945094,46805,3500,FORT WAYNE,IN,Midwest,East North Central,3,3,4,11,0,5,43000,12.482,156,129,78,160,128,89,Yes,Greater than 10,Yes,0,0,0,0,0,0,0,0,860.26,794.29,10923,513,0.054274228,Suburban,171372,69141,45110,63750,60362,8012,18359,91.68,69141,51.8,0.799833112,0.102881451,0.0039388,0.028003408,0.022591516,0.013638796,0.142543706
1438,670310,46408,3000,GARY,IN,Midwest,East North Central,2,3,6,6,3,3,43000,11.27333333,214,456,231,248,525,299,Yes,Greater than 10,Yes,0,0,0,0,0,1,0,0,445.18,294.66,11139,368,0.051948052,Suburban,157658,61093,45264,53597,48437,11337,15221,69.55,61093,74.9,0.534701696,0.382352941,0.003139708,0.012774487,0.028006482,0.021180823,0.146989052
1446,923489,46254,7298,INDIANAPOLIS,IN,Midwest,East North Central,4,1,5,16,1,5,46000,11.596,696,1338,579,629,1017,584,No,Greater than 10,Yes,0,0,0,0,0,0,0,0,949.41,671.35,14685,357,0.053547323,Suburban,161284,67666,58159,46336,38290,6153,16693,56.15,67666,81.71,0.409811265,0.440955085,0.003794549,0.024447558,0.02348299,0.015221825,0.140144094
1450,787955,46241,3500,INDIANAPOLIS,IN,Midwest,East North Central,0,2,6,8,2,5,45000,10.904,348,776,431,381,828,412,Yes,Greater than 10,Yes,0,0,0,0,0,0,0,0,1104.73,576.83,11196,382,0.063476238,Suburban,156237,60715,46620,49569,41375,6114,19559,69.28,60715,61.67,0.644412015,0.216562018,0.004409967,0.018043101,0.029465536,0.019468006,0.121552513
